,name,rating,link,lat,long,avg price,description,primary_cuisine
74,sumiyaki unagi doikatsuman Kinkakuji Ten,3.08,https://tabelog.com/en/kyoto/A2601/A260501/26040795/,35.03860905297589,135.73343494461636,4499.5,"Kitano Hakubaicho Sta., Unagi (Eel), Izakaya (Tavern), Japanese Cuisine",Japanese
75,Tendan Gionhonten,3.38,https://tabelog.com/en/kyoto/A2601/A260301/26001422/,35.00249453787499,135.77198168032854,6999.5,"Gion Shijo Sta., Yakiniku (BBQ Beef), Horumon (BBQ Offel)",Japanese
76,Shizen Shusai Ichishun,3.23,https://tabelog.com/en/kyoto/A2601/A260101/26038857/,34.98935363787884,135.75783438020574,4499.5,"Kyoto Sta., Izakaya (Tavern), Japanese Cuisine, Seafood",Japanese
77,teppanyakikouberoimbetteikyousaien Hanamikoji Ten,-,https://tabelog.com/en/kyoto/A2601/A260301/26041979/,35.00406763765406,135.77485170641947,12499.5,"Gion Shijo Sta., Steak, Teppanyaki",Japanese
78,Sakana to Seafood Tomoshibi Second,3.02,https://tabelog.com/en/kyoto/A2601/A260201/26040377/,35.00138445865406,135.75845702859294,2499.5,"Shijo Sta., Izakaya (Tavern), Seafood, Motsu Nabe (Offel Hot Pot)",Japanese
79,Stars'n Cacio KYOTO,3.31,https://tabelog.com/en/kyoto/A2601/A260201/26034775/,35.00629153787083,135.7664542803708,8999.5,"Kyoto Kawaramachi Sta., Italian, Steak",Italian
80,Hyssop,3.48,https://tabelog.com/en/kyoto/A2601/A260201/26033518/,35.00238438320756,135.76906059820382,5499.5,"Kyoto Kawaramachi Sta., Cafe, Dining bar",Cafe
81,Oniku to Bistro HaLe Resort Kyoto Kawaramachi Ten,3.29,https://tabelog.com/en/kyoto/A2601/A260201/26027041/,35.007203637871214,135.76948978037788,4499.5,"Sanjo Sta., Bistro, Baru (Spanish style bar), Steak",Spanish
82,Kyoya THE KIYOMIZU Miyukicho,3.12,https://tabelog.com/en/kyoto/A2601/A260201/26038044/,35.00189022241871,135.7663711220944,4499.5,"Kyoto Kawaramachi Sta., Izakaya (Tavern), Creative, Japanese Cuisine",Japanese
83,Kyoto Kanigin Kawaramachi Ten,3.20,https://tabelog.com/en/kyoto/A2601/A260201/26040365/,35.00654283466242,135.76948176065255,6999.5,"Kyoto Kawaramachi Sta., Crab, Shabu shabu (Japanese hotpot), Sushi",Japanese
84,Kani Kani Land Kyoto Gion Ten,3.23,https://tabelog.com/en/kyoto/A2601/A260301/26040419/,35.00569153787364,135.77407418035938,12499.5,"Gion Shijo Sta., Crab, Seafood, Izakaya (Tavern)",Japanese
85,OBENKEI Kyoto Gion Ten,3.14,https://tabelog.com/en/kyoto/A2601/A260301/26040420/,35.00569153787364,135.77407418035938,8999.5,"Gion Shijo Sta., Sushi, Seafood, Izakaya (Tavern)",Japanese
86,wamon,3.08,https://tabelog.com/en/kyoto/A2601/A260101/26041413/,34.98742999297652,135.7601050860411,3499.5,"Kyoto Sta., Izakaya (Tavern), Motsu Nabe (Offel Hot Pot), Kamameshi",Japanese
87,Kyoto Diner,3.46,https://tabelog.com/en/kyoto/A2601/A260201/26019479/,35.00540053787057,135.76388818036358,4499.5,"Karasuma Sta., Baru (Spanish style bar), Italian, Wine bar",Italian
88,Kyo Korean Do Ajoshigionhonten,3.51,https://tabelog.com/en/kyoto/A2601/A260301/26041488/,35.003078603714954,135.7733078675167,5499.5,"Gion Shijo Sta., Korean cold noodles, Korean, Izakaya (Tavern)",Korean
89,Wagyu Yakiniku Horumon Sankichi Karasuma Honten,3.07,https://tabelog.com/en/kyoto/A2601/A260202/26040165/,35.008517268571325,135.76129456576268,4499.5,"Karasuma Oike Sta., Yakiniku (BBQ Beef), Horumon (BBQ Offel)",Japanese
90,Yakiniku Horumo Daigoro,3.25,https://tabelog.com/en/kyoto/A2601/A260301/26024703/,35.00424023787463,135.77432108034455,5499.5,"Gion Shijo Sta., Yakiniku (BBQ Beef), Horumon (BBQ Offel), Korean cold noodles",Korean
91,Steak no Don Jujo Shinsembon Ten,3.04,https://tabelog.com/en/kyoto/A2601/A260604/26011649/,34.97352793788379,135.74180338005715,1499.5,"Jujo Sta., Steak, Hamburger steak, Family restaurant",American
92,CHAPTER THE GRILL,3.20,https://tabelog.com/en/kyoto/A2601/A260202/26037096/,35.01405305711698,135.7691118925085,5499.5,"Kyoto Shiyakusho Mae Sta., Restaurants, Italian, Cafe",Italian
93,Korean Ryori Shigor,3.04,https://tabelog.com/en/kyoto/A2601/A260101/26029264/,34.98070233788564,135.76189168011553,3499.5,"Kujo Sta., Korean, Izakaya (Tavern), Hot Pot",Korean
94,Gion Yuzuki,3.05,https://tabelog.com/en/kyoto/A2601/A260301/26041411/,35.005012437874,135.77386118035267,8999.5,"Gion Shijo Sta., Japanese Cuisine, Izakaya (Tavern)",Japanese
95,Miyagawacho Saka,3.55,https://tabelog.com/en/kyoto/A2601/A260301/26007250/,34.99912393149148,135.77094281422538,24999.5,"Gion Shijo Sta., Italian, French, Pasta",Italian
96,Niku Ryori Yoki,3.01,https://tabelog.com/en/kyoto/A2601/A260201/26039770/,35.00512283786904,135.75848458036458,4499.5,"Karasuma Sta., Yakiniku (BBQ Beef), Horumon (BBQ Offel), Korean cold noodles",Korean
97,boogaloo cafe Teramachi Ten,3.34,https://tabelog.com/en/kyoto/A2601/A260201/26025890/,35.00663694830622,135.7670225161149,2499.5,"Kyoto Kawaramachi Sta., Cafe, Italian, Baru (Spanish style bar)",Italian
98,Charcoal,3.34,https://tabelog.com/en/kyoto/A2601/A260201/26020006/,35.00406591949416,135.75599049514244,3499.5,"Shijo Sta., Italian, Baru (Spanish style bar), Izakaya (Tavern)",Italian
